GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
ACER2	3.3622	26.5736	31.4028
ACER3	70.6052	126.8286	238.7794
ACE	239.1931	481.1433	397.5707
ACHE	318.9241	99.0471	34.9578
ACIN1	3414.0250	1956.3810	3948.4521
ACLY	2880.8838	2620.7212	5685.0837
ACMSD	0.4803	0.0000	2.3700
ACN9	301.6330	280.6334	693.8231
ACO1	1475.5043	1179.7070	1349.7260
ACO2	1409.5821	3645.0572	3056.8212
ACOT11	3.2949	68.0445	314.0276
ACOT12	0.0000	0.0000	0.0000
ACOT13	542.5456	388.3934	789.3112
ACOT1	1017.7714	184.4047	1966.5235
ACOT2	424.5917	163.4679	773.2188
ACOT4	16.3305	63.2130	31.9953
ACOT6	0.9606	4.0263	2.3700
ACOT7	471.1816	119.1786	324.6926
ACOT8	1299.8127	1142.1175	423.2084
ACOT9	792.0269	418.3330	667.1604
ACOX1	2301.1527	1161.5283	1486.5946
ACOX2	69.6446	804.8581	769.6638
ACOX3	330.4515	329.3517	290.9199
ACOXL	0.9606	1.6105	1.1850
ACP1	6091.7387	2944.8386	2295.9562
ACP2	1334.7743	1740.9738	1272.7003
ACP5	27.8578	490.8064	59.2505
ACP6	672.4304	660.3138	165.3088
ACPL2	1380.4035	4388.2686	101.3183
ACPP	52.8338	51.1341	168.8639
ACPT	0.0000	0.8053	0.0000
ACRBP	6.7243	18.5210	6.5176
ACRC	38.4246	13.6894	344.8378
ACRV1	21.6138	0.4026	0.5925
ACR	0.4803	1.2079	2.9625
ACSBG1	1.9212	4.0263	19.5527
ACSBG2	0.0000	0.0000	2.3700
ACSF2	1061.9597	458.1934	803.4365
ACSF3	608.5495	638.9744	1792.3271
ACSL1	1012.4880	1712.7897	1061.7686
ACSL3	1050.4323	2740.3024	2117.6122
ACSL4	1066.2824	1308.1461	7505.2585
ACSL5	49.9520	104.2813	27.2552
ACSL6	177.2334	267.3466	107.2434
ACSM1	26.4169	1.6105	16.5901
ACSM2A	0.0000	0.0000	0.5925
ACSM2B	0.0000	0.0000	0.0000
ACSM3	74.6734	51.5488	485.4096
ACSM4	0.0000	0.0000	0.5925
ACSM5	5.2834	4.4289	7.1101
ACSS1	510.0865	936.1156	146.3487
ACSS2	3280.4995	2086.4307	4248.8520
ACSS3	343.9001	35.4315	1315.9532
ACTA1	3.8425	1.6105	2.3700
ACTA2	2274.7310	2042.9264	1717.4167
ACTBL2	0.0000	0.0000	0.0000
ACTB	68807.3967	71065.0681	73504.9622
ACTC1	0.0000	3.2210	1.1850
ACTG1	43216.6186	55973.2734	49485.4096
ACTG2	2.4015	64.4209	11.8501
ACTL6A	829.0106	935.3104	756.0361
ACTL6B	0.0000	0.0000	0.0000
ACTL7A	0.4803	0.4026	0.0000
ACTL7B	0.0000	0.0000	0.5925
ACTL8	0.0000	0.4026	0.0000
ACTL9	0.0000	0.0000	0.0000
ACTN1	2118.1556	3821.3650	4839.5793
ACTN2	2974.5437	2.0132	20.1452
ACTN3	0.4803	2.4158	19.5527
ACTN4	6970.8886	17986.1998	12348.1499
ACTR10	1597.5024	1364.1117	2265.1459
ACTR1A	4171.9500	5088.0402	3880.3140
ACTR1B	1912.5841	1451.4825	2501.5553
ACTR2	3320.8453	3391.7584	2231.9656
ACTR3B	178.6744	252.0466	337.1352
ACTR3C	1.4409	31.8078	26.6627
ACTR3	3113.8329	4008.1855	2295.9562
ACTR5	490.8742	166.2863	209.7467
ACTR6	317.4832	678.4322	706.2657
ACTR8	226.7051	580.9956	235.8169
ACTRT1	2.8818	0.0000	0.0000
ACTRT2	0.0000	0.0000	0.0000
ACVR1B	1187.8002	1224.8016	1507.9248
ACVR1C	12.4880	2.0132	7.7026
ACVR1	515.3698	777.4793	356.0954
ACVR2A	335.2546	152.5969	181.3065
ACVR2B	413.5447	814.9239	203.2292
ACVRL1	203.1700	427.9961	276.6997
ACY1	461.0951	924.9910	947.6463
ACY3	2.8818	0.0000	0.0000
ACYP1	996.1575	130.4522	151.0887
ACYP2	755.5235	184.0021	666.5679
ADAD1	0.0000	0.0000	0.0000
ADAD2	2.8818	11.4951	7.7026
ADAL	263.2085	222.2520	107.8359
ADAM10	377.0413	1972.4863	596.6523
ADAM11	24.0154	10.8710	25.4777
ADAM12	6.7243	40.6657	64.5830
ADAM15	712.2959	1040.5781	934.9726
ADAM17	239.6734	659.9112	303.9550
ADAM18	0.0000	0.0000	0.0000
ADAM19	12.4880	230.7072	367.9455
ADAM20	2.8818	1.6105	4.7400
ADAM21P1	1.4409	16.5078	2.3700
ADAM21	2.8818	34.6262	2.3700
ADAM22	43.7080	28.9894	13.6276
ADAM23	82.1326	2.4158	104.8734
ADAM28	26.4169	2.8184	14.8126
ADAM29	0.0000	0.0000	1.7775
ADAM2	0.0000	0.0000	0.5925
ADAM30	0.0000	0.0000	0.0000
ADAM32	1.9212	4.4289	9.4801
ADAM33	4.8031	5.6368	3.2766
ADAM3A	0.0000	0.0000	0.0000
ADAM5P	0.0000	0.0000	0.0000
ADAM6	26.1191	4855.7546	218.3676
ADAM7	0.0000	0.0000	0.0000
ADAM8	79.7310	68.0445	115.5384
ADAM9	542.2671	1612.1321	1101.4664
ADAMDEC1	0.9606	1.2079	10.0726
ADAMTS10	39.3852	144.1417	179.5290
ADAMTS12	77.3295	95.8260	45.0304
ADAMTS13	248.7992	51.1341	25.4777
